# without rda, noise ratio = 3
Epoch 0, Training Recall@5 = 0.8137
Epoch 1, Training Recall@5 = 0.8292
Epoch 2, Training Recall@5 = 0.8227
Epoch 3, Training Recall@5 = 0.8236
Epoch 4, Training Recall@5 = 0.8230
Epoch 5, Training Recall@5 = 0.8207

# with rda, noise ratio = 3
Epoch 0, Training Recall@5 = 0.8059
Epoch 1, Training Recall@5 = 0.8067
Epoch 2, Training Recall@5 = 0.8099
Epoch 3, Training Recall@5 = 0.8071
Epoch 4, Training Recall@5 = 0.8082
Epoch 5, Training Recall@5 = 0.8082

# without rda, noise ratio = 5
Epoch 0, Training Recall@5 = 0.7032
Epoch 1, Training Recall@5 = 0.7486
Epoch 2, Training Recall@5 = 0.6678
Epoch 3, Training Recall@5 = 0.5745
Epoch 4, Training Recall@5 = 0.5730
Epoch 5, Training Recall@5 = 0.5719


# with rda, noise ratio = 5
Epoch 0, Training Recall@5 = 0.6848
Epoch 1, Training Recall@5 = 0.6838
Epoch 2, Training Recall@5 = 0.6815
Epoch 3, Training Recall@5 = 0.6772
Epoch 4, Training Recall@5 = 0.6799
Epoch 5, Training Recall@5 = 0.6784
